Property,URL,Fields Count,building_name,building_address,city,country,postal_code,description,price_min,price_max,currency,cover_image,images,key_amenities,unit_types_summary,total_units,number_of_floors,elevator_available,application_link,application_method,lease_type,rental_method,furnished_options,in_unit_washer_dryer,ac_heating_type,bed_included,utilities_included,floor_plans,primary_contact_phone,shuttle_service
1440-amsterdam,https://www.1440amsterdam.com/,12,New York Apartments For Rent | 1440 Amsterdam Ave [medium],1440 Amsterdam Ave [high],New York [high],,,"The largest residentail building in Upper Manhattan, the New York apartments for rent at 1440 Ams... [medium]",,,,https://cdn.prod.website-files.com/682f9a81506502987f879f17/68361c96324bf9f749fcc8d2_1440-amsterd... [medium],['https://cdn.prod.website-files.com/682f9a81506502987f879f17/68361c96324bf9f749fcc8d2_1440-amste... [low],"['Gym', 'Game Room', 'Rooftop'] [medium]",Studio - 3 bedroom [medium],490 [medium],27 [medium],,https://hello.rello.co/?invite_hash=M0sNCyQMGAkLFwsdOiENRl9wXFQKCXFRAAZlW1VTY0hZVFgqRAUEfF9JBzEGW... [medium],['Online'] [medium],,,,,,,,,,
180-franklin,https://180franklin.com/,7,"180 Franklin is a pet-friendly apartment community in Brooklyn, NY [medium]",,Brooklyn [high],USA [high],,"Bordering Brooklyn's trendy Clinton Hill and historic Bedford Stuyvesant neighborhoods, 180 Frank... [medium]",,,,https://180franklin.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg [medium],['https://180franklin.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg'] [low],['Pet Friendly'] [medium],,,,,,,,,,,,,,,,
22-chapel,https://22chapel.com/,9,22 Chapel [high],22 Chapel Street [high],Brooklyn [high],USA [high],11201 [high],"With its striking faceted façade by esteemed architects CetraRuddy, 22 Chapel sits at the interse... [medium]",,,,https://22chapel.com/site/images/uploaded/9f52e9baec785c041264d8053755943368c7a118.jpg [medium],"['https://22chapel.com/site/images/uploaded/850bc45e518770020e6c8d80084f032630beab90.jpg', 'https... [medium]","['Gym', 'Game Room', 'Rooftop'] [medium]",,,,,,,,,,,,,,,,
224w124,https://www.224w124.com/,10,"224 West 124th - Apartments in Harlem, NY [high]",224 West 124th Street [high],New York [high],United States [high],10027 [high],"Luxury apartments for rent in Harlem, NY. We offer living spaces and access to amenities that cat... [medium]",,,,//images.squarespace-cdn.com/content/v1/62bace67a3283a547f9f1e28/acc3ef19-de49-4985-bef3-60a0e3c5... [low],['//images.squarespace-cdn.com/content/v1/62bace67a3283a547f9f1e28/acc3ef19-de49-4985-bef3-60a0e3... [high],[] [medium],,,,,https://www.224w124.com [medium],,,,,,,,,,,
4650-broadway,https://www.fortysixfifty.com/,8,Forty Six Fifty [high],,Uptown Manhattan [high],,,"Discover a stunning collection of brand new studio, one, and two bedroom Uptown Manhattan luxury ... [medium]",,,,https://www.fortysixfifty.com/_next/image?url=%2Fimages%2Fmarch-photos%2F718894434-25kcjp_4650bwy... [medium],['https://www.fortysixfifty.com/_next/image?url=%2Fimages%2Fmenu%2FMenu-Building-Blur.jpg&w=3840&... [medium],[] [medium],"Studio, 1BR, 2BR [medium]",,,,/availability [low],,,,,,,,,,,
485-marin,https://www.485marin.com/,11,485 Marin [high],485 Marin Blvd [high],Jersey City [high],US [high],07302 [high],"<div style=""text-align: center"">Welcome to life at 485 Marin, where curated design meets storied ... [high]",,,,"https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/3/653730/nj_jerseycity_485marin_p0662... [high]","['https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/3/653730/nj_jerseycity_485marin_p06... [high]",['Pet Friendly'] [medium],,,,,https://www.485marin.com/ [medium],,,,,,,,,,(201) 834-0624 [high],
5-pointz-lic,https://www.5pointzlic.com/,8,5pointz [high],,Long Island City [high],,,"5 Pointz is located in the heart of Long Island City, surrounded by its own unique culture, yet i... [medium]",,,,,[] [medium],['Security'] [medium],Studio-3 Bed [medium],,,,/availability [low],['Online'] [medium],,,,,,,,,,
555ten,https://555ten.com/,17,555 Ten [high],555 10th Avenue [high],New York [high],United States [high],,555TEN offers new luxury Midtown Manhattan apartments for rent as well as a rooftop swimming pool... [high],4200 [low],9000 [low],USD [high],https://555ten.com/wp-content/uploads/2019/07/building1-1.jpg [medium],"['https://555ten.com/wp-content/uploads/2019/07/building1-1.jpg', 'https://555ten.com/wp-content/... [medium]","['Gym', 'Pool', 'Laundry', 'Parking', 'Rooftop', 'Pet Friendly', 'WiFi', 'Security', 'Bike Storag... [medium]","Studio, 1 Bedroom, 2 Bedroom, 3 Bedroom, Loft [medium]",,56 [medium],,https://555ten.com [medium],['Online'] [medium],,,,True [medium],,,,,2125635553 [high],
7-seventy-house,https://7seventyhouse.com/,8,7 Seventy House [high],,Hoboken [high],,,We invite you to experience Hoboken living as you've never seen it before. A brand new residentia... [medium],,,,,"['https://7seventyhouse.com/images/7SeventyHouse51-web.jpg', 'https://7seventyhouse.com/images/ne... [medium]","['Gym', 'Pool', 'Rooftop', 'Pet Friendly'] [medium]","Studio, One, Two and Three Bedroom Homes [medium]",,,,https://7seventyhouse.com/availability [medium],,,,,,,,,,,True [medium]
bisby-newport,https://www.bisby.com/,16,Bisby at Newport [high],30 Park Lane North [high],Jersey City [high],"{'@type': 'country', 'name': 'USA', 'openingHoursSpecification': [{'@type': 'OpeningHoursSpecific... [high]",07310 [high],"Head Line Goes here
Body and SEO copy goes here
remove this line to publish --> [high]",3430 [low],4521 [low],USD [high],https://sxxweb7cdn.cachefly.net/img/thumbnail.aspx?p=/common/uploads/client/1091/media/82790021-1... [medium],['https://sxxweb7cdn.cachefly.net/img/thumbnail.aspx?p=/common/uploads/client/1091/media/82790021... [low],"['Lounge', 'Lobby', 'Co-working Space', 'golf-simulator', 'Rooftop Deck', 'Outdoor Park and Playg... [low]","Studio, 1 BR, 2 BR, 3 BR, 4 BR [medium]",1234 [low],,,https://www.bisby.com [medium],,,,,,,,,,(201) 243-7550 [high],
