Property,URL,Fields Count,Source Breakdown,building_name,building_address,city,country,postal_code,description,price_min,price_max,currency,cover_image,images,key_amenities,unit_types_summary,total_units,number_of_floors,elevator_available,application_link,application_method,lease_type,rental_method,furnished_options,in_unit_washer_dryer,ac_heating_type,bed_included,utilities_included,floor_plans,primary_contact_phone,shuttle_service
1-qps,https://www.stonehengenyc.com/buildings/1-qps,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080-amsterdam,https://www.stonehengenyc.com/buildings/1080-amsterdam,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440-amsterdam,https://www.1440amsterdam.com/,15,JLD=0 OG=4 CSS=3 Geo=0 LLM=8,New York Apartments For Rent | 1440 Amsterdam Ave [medium],1440 Amsterdam Ave [high],New York [high],United States [high],,"The largest residentail building in Upper Manhattan, the New York apartments for rent at 1440 Amsterdam Ave establish..." [medium],,,,https://cdn.prod.website-files.com/682f9a81506502987f879f17/68361c96324bf9f749fcc8d2_1440-amsterdam.jpg [medium],"[""https://cdn.prod.website-files.com/682f9a81506502987f879f17/68361c96324bf9f749fcc8d2_1440-amsterdam.jpg""]" [low],"[""Gym"",""Game Room"",""Rooftop""]" [medium],Studio - 3 bedroom Luxe Modern Residences [medium],490 [medium],27 [medium],,/how-to-apply [low],"[""Online""]" [medium],,,,,,,,,+13475081440 [medium],
180-franklin,https://180franklin.com/,11,JLD=0 OG=4 CSS=3 Geo=0 LLM=4,"180 Franklin is a pet-friendly apartment community in Brooklyn, NY" [medium],"180 Franklin Avenue | Brooklyn, NY 11205" [medium],Brooklyn [high],United States [high],11205 [high],"Bordering Brooklyn's trendy Clinton Hill and historic Bedford Stuyvesant neighborhoods, 180 Franklin embraces its art..." [medium],,,,https://180franklin.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg [medium],"[""https://180franklin.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg""]" [low],"[""Pet Friendly""]" [medium],,,,,https://www.on-site.com/apply/property/200004 [medium],,,,,,,,,,3479603192 [medium],
22-chapel,https://22chapel.com/,14,JLD=0 OG=0 CSS=6 Geo=0 LLM=8,22 Chapel [high],"22 Chapel Street, Brooklyn, NY 11201" [medium],Brooklyn [high],United States [high],11201 [high],"With its striking faceted façade by esteemed architects CetraRuddy, 22 Chapel sits at the intersection of historic an..." [medium],2500 [low],9000 [low],USD [high],https://22chapel.com/site/images/uploaded/9f52e9baec785c041264d8053755943368c7a118.jpg [medium],"[""/site/images/EHO.svg"",""/site/images/NancyPackes.svg"",""/site/images/DelShah-Logo.svg""]" [medium],"[""Gym"",""Rooftop"",""Game Room""]" [medium],,,,,,,,,,,,,,,718-550-0022 [medium],
224w124,https://www.224w124.com/,10,JLD=4 OG=1 CSS=1 Geo=0 LLM=4,"224 West 124th - Apartments in Harlem, NY" [high],224 West 124th Street [high],New York [high],United States [high],10027 [high],"Luxury apartments for rent in Harlem, NY. We offer living spaces and access to amenities that cater to all lifestyles." [medium],,,,//images.squarespace-cdn.com/content/v1/62bace67a3283a547f9f1e28/acc3ef19-de49-4985-bef3-60a0e3c5c2fc/Asset+1.png [low],"[""//images.squarespace-cdn.com/content/v1/62bace67a3283a547f9f1e28/acc3ef19-de49-4985-bef3-60a0e3c5c2fc/Asset+1.png""]" [high],,,,,,https://www.224w124.com [medium],,,,,,,,,,,
4650-broadway,https://www.fortysixfifty.com/,11,JLD=0 OG=0 CSS=3 Geo=0 LLM=8,Forty Six Fifty [high],"(646) 503-58814650 Broadway, New York, NY 10040" [medium],New York [high],United States [high],10040 [high],"Discover a stunning collection of brand new studio, one, and two bedroom Uptown Manhattan luxury rentals today at For..." [medium],,,,https://www.fortysixfifty.com/_next/image?url=%2Fimages%2Fmarch-photos%2F718894434-25kcjp_4650bwy_6fl_lounge_255-ret1... [medium],"[""https://www.fortysixfifty.com/_next/image?url=%2Fimages%2Fmenu%2FMenu-Building-Blur.jpg&w=3840&q=75"",""https://www.f..." [medium],,"Studio, 1BR, 2BR" [medium],,,,https://www.on-site.com/apply/property/601505 [medium],,,,,,,,,,(646) 503-5881 [medium],
485-marin,https://www.485marin.com/,13,JLD=11 OG=0 CSS=0 Geo=0 LLM=2,485 Marin [high],485 Marin Blvd [high],Jersey City [high],US [high],07302 [high],"<div style=""text-align: center"">Welcome to life at 485 Marin, where curated design meets storied surroundings. At the..." [high],,,,"https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/3/653730/nj_jerseycity_485marin_p0662696_01_5_thumbnail.png" [high],"[""https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/3/653730/nj_jerseycity_485marin_p0662696_01_5_thumbnail..." [high],"[""Pet Friendly""]" [medium],,,,,https://www.485marin.com/ [medium],"[""Online""]" [medium],,,,true [medium],,,,,(201) 834-0624 [high],
5-pointz-lic,https://www.5pointzlic.com/,10,JLD=0 OG=0 CSS=3 Geo=0 LLM=7,5pointz [high],,Long Island City [high],United States [high],,"5 Pointz is located in the heart of Long Island City, surrounded by its own unique culture, yet ideally close to all ..." [medium],3400 [low],7000 [low],USD [high],,,"[""Gym"",""Pool"",""Laundry"",""Parking"",""Study Room"",""Rooftop"",""Pet Friendly"",""Furnished"",""WiFi"",""Security"",""Bike Storage"",..." [medium],Studio-3 Bed [medium],,,,,,,,,,,,,,6467837286 [medium],
555ten,https://555ten.com/,18,JLD=4 OG=0 CSS=4 Geo=0 LLM=10,Midtown West Luxury Rentals | 555TEN [high],"40.756648, -73.998030" [medium],New York [high],United States [high],,Midtown Manhattan Apartments [high],2500 [low],10000 [low],USD [high],https://555ten.com/wp-content/uploads/2019/07/building1-1.jpg [medium],"[""https://555ten.com/wp-content/uploads/2016/06/pool.jpg"",""https://555ten.com/wp-content/uploads/2016/06/HomeFeatures..." [medium],"[""Gym"",""Pool"",""Rooftop"",""Pet Friendly"",""Bike Storage"",""Game Room""]" [medium],"Loft, 1, 2 & 3-bedroom layouts" [medium],,56 [medium],,https://555ten.com/ [medium],"[""Online""]" [medium],,,,true [medium],,,,,2125635553 [high],
